id,address,function,length,setpoint,gain,reset rate,deadband,cycle time,rate,system mode,control scheme,pump,solenoid,pressure measurement,crc rate,command response,time,binary result,categorized result,specific result
1371,4,16,90,10.4,114,0.3045,0.740104,1.31,0,0,0,0,1,-1,17473,1,1418683634,1,4,9
1376,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683637,1,4,9
1383,4,16,90,10.4,114,0.3045,0.740105,1.31,0,0,0,0,1,-1,17460,1,1418683644,1,4,9
1404,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683660,1,4,9
1408,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418683664,1,4,9
1684,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684019,1,4,12
1691,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684026,1,4,12
1692,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684026,1,4,12
1704,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684036,1,4,12
1707,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684039,1,4,12
1715,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684046,1,4,12
1716,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684046,1,4,12
1720,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684049,1,4,12
1723,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684052,1,4,12
1731,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684059,1,4,12
1736,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684063,1,4,12
1740,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684066,1,4,12
1767,4,16,90,10.4,114,0.3045,0.25,0,0,0,1,0,1,-1,13104,1,1418684089,1,4,12
2203,4,16,90,10.4,114,0.130214,0.25,1.31,0,0,1,0,1,-1,13636,1,1418684454,1,4,6
2228,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684474,1,4,6
2232,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418684478,1,4,6
2920,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685153,1,4,12
2928,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685159,1,4,12
2932,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685163,1,4,12
2936,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685166,1,4,12
2944,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685173,1,4,12
2959,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685186,1,4,12
2964,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685189,1,4,12
2968,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685193,1,4,12
2983,4,16,90,10.4,114,0.3505,0.25,0,0,0,1,1,1,-1,13122,1,1418685206,1,4,12
3028,4,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17718,0,1418685243,1,4,6
3051,4,16,90,10.4,114,0.895606,0.25,0.7,0,0,1,1,1,-1,12869,1,1418685263,1,4,6
3179,4,16,90,10.4,65,0.3505,0.25,0.7,0,0,1,1,1,-1,17204,1,1418685370,1,4,4
3187,4,16,90,10.4,66,0.3505,0.25,0.7,0,0,1,1,1,-1,13382,1,1418685377,1,4,4
